"Szenario";"Type";"Age";"Mean_oop";"Mean_oop_a";"Mean_sw";"Mean_sw_a"
1;"Total Costs";35;17310;351;11452;232
1;"Costs G. & Prev.";35;5537;112;4429;90
1;"Costs P.";35;6302;128;2726;55
1;"Costs S. D.";35;5471;111;4297;87
1;"Total Costs";50;11559;332;7765;223
1;"Costs G. & Prev.";50;4127;118;3302;95
1;"Costs P.";50;3871;111;1673;48
1;"Costs S. D.";50;3561;102;2790;80
1;"Total Costs";65;9456;442;5891;276
1;"Costs G. & Prev.";65;2076;97;1661;78
1;"Costs P.";65;4487;210;1944;91
1;"Costs S. D.";65;2893;135;2286;107
1;"Total Costs";80;4348;445;2717;278
1;"Costs G. & Prev.";80;1059;108;847;87
1;"Costs P.";80;2036;208;881;90
1;"Costs S. D.";80;1252;128;988;101
2;"Total Costs";35;16518;333;16518;333
2;"Costs G. & Prev.";35;10118;204;10118;204
2;"Costs P.";35;3078;62;3078;62
2;"Costs S. D.";35;3321;67;3321;67
2;"Total Costs";50;11375;324;11375;324
2;"Costs G. & Prev.";50;7332;209;7332;209
2;"Costs P.";50;1871;53;1871;53
2;"Costs S. D.";50;2172;62;2172;62
2;"Total Costs";65;8026;373;8026;373
2;"Costs G. & Prev.";65;4107;191;4107;191
2;"Costs P.";65;2204;102;2204;102
2;"Costs S. D.";65;1715;80;1715;80
2;"Total Costs";80;3761;383;3761;383
2;"Costs G. & Prev.";80;2024;206;2024;206
2;"Costs P.";80;995;101;995;101
2;"Costs S. D.";80;741;76;741;76
3;"Total Costs";35;15606;315;15606;315
3;"Costs G. & Prev.";35;9283;187;9283;187
3;"Costs P.";35;3214;65;3214;65
3;"Costs S. D.";35;3109;63;3109;63
3;"Total Costs";50;10574;301;10574;301
3;"Costs G. & Prev.";50;6724;192;6724;192
3;"Costs P.";50;1882;54;1882;54
3;"Costs S. D.";50;1968;56;1968;56
3;"Total Costs";65;7570;352;7570;352
3;"Costs G. & Prev.";65;3751;174;3751;174
3;"Costs P.";65;2231;104;2231;104
3;"Costs S. D.";65;1588;74;1588;74
3;"Total Costs";80;3531;359;3531;359
3;"Costs G. & Prev.";80;1854;188;1854;188
3;"Costs P.";80;991;101;991;101
3;"Costs S. D.";80;686;70;686;70
