"Szenario";"Type";"raw_oop";"smoothed_oop";"raw_sw";"smoothed_sw"
1;"Total Costs";52761531866;53892175789;34955800973;35526674176
1;"Costs G. & Prev.";17426351841;17193365227;13941080818;13754717067
1;"Costs S. D.";16256368349;16685264724;12760730353;13108488190
1;"Costs P.";19078804504;20013509413;8253984852;8663455450
2;"Total Costs";50644526718;51276264460;50644524912;51276547092
2;"Costs G. & Prev.";31386737889;31141069905;31386737901;31141068128
2;"Costs S. D.";9880995192;10173997633;9880994374;10174125617
2;"Costs P.";9376795468;9961195464;9376794468;9961351889
3;"Total Costs";47334732632;47954055066;47334733404;47953934192
3;"Costs G. & Prev.";28794554062;28555718023;28794554210;28555694915
3;"Costs S. D.";9039815101;9316584443;9039815408;9316536449
3;"Costs P.";9500360544;10081736055;9500360850;10081688060
