Alter;Q;S
0; 0.003210;100 000
1; 0.000128;99 679
2; 0.000080;99 666
3; 0.000077;99 658
4; 0.000070;99 651
5; 0.000063;99 644
6; 0.000056;99 637
7; 0.000050;99 632
8; 0.000045;99 627
9; 0.000042;99 622
10; 0.000041;99 618
11; 0.000042;99 614
12; 0.000047;99 610
13; 0.000056;99 605
14; 0.000070;99 600
15; 0.000086;99 593
16; 0.000100;99 584
17; 0.000111;99 574
18; 0.000119;99 563
19; 0.000128;99 551
20; 0.000138;99 538
21; 0.000149;99 525
22; 0.000161;99 510
23; 0.000172;99 494
24; 0.000180;99 477
25; 0.000187;99 459
26; 0.000191;99 440
27; 0.000194;99 421
28; 0.000196;99 402
29; 0.000198;99 383
30; 0.000201;99 363
31; 0.000205;99 343
32; 0.000212;99 323
33; 0.000222;99 302
34; 0.000236;99 280
35; 0.000256;99 256
36; 0.000280;99 231
37; 0.000311;99 203
38; 0.000347;99 172
39; 0.000391;99 138
40; 0.000441;99 099
41; 0.000497;99 055
42; 0.000561;99 006
43; 0.000629;98 950
44; 0.000702;98 888
45; 0.000779;98 819
46; 0.000861;98 742
47; 0.000948;98 657
48; 0.001040;98 563
49; 0.001140;98 461
50; 0.001248;98 349
51; 0.001367;98 226
52; 0.001499;98 092
53; 0.001647;97 944
54; 0.001815;97 783
55; 0.002006;97 606
56; 0.002221;97 410
57; 0.002463;97 194
58; 0.002735;96 954
59; 0.003038;96 689
60; 0.003376;96 395
61; 0.003749;96 070
62; 0.004160;95 710
63; 0.004609;95 312
64; 0.005098;94 872
65; 0.005630;94 389
66; 0.006212;93 857
67; 0.006850;93 274
68; 0.007554;92 635
69; 0.008333;91 935
70; 0.009201;91 169
71; 0.010172;90 331
72; 0.011267;89 412
73; 0.012507;88 404
74; 0.013921;87 299
75; 0.015543;86 083
76; 0.017411;84 745
77; 0.019576;83 270
78; 0.022096;81 640
79; 0.025048;79 836
80; 0.028523;77 836
81; 0.032639;75 616
82; 0.037544;73 148
83; 0.043422;70 402
84; 0.050494;67 345
85; 0.058944;63 944
86; 0.068940;60 175
87; 0.080630;56 027
88; 0.094119;51 509
89; 0.109438;46 661
90; 0.126512;41 555
91; 0.145122;36 298
92; 0.164864;31 030
93; 0.185127;25 914
94; 0.205254;21 117
95; 0.225200;16 783
96; 0.245264;13 003
97; 0.265970;9 814
98; 0.288073;7 204
99; 0.312595;5 129
100;1;3526
