Alter;Anzahl
0;43282.00
1;44960.00
2;45078.00
3;45625.00
4;45598.00
5;45329.00
6;44392.00
7;44917.00
8;44356.00
9;44603.00
10;44245.00
11;44238.00
12;43099.00
13;42779.00
14;42655.00
15;42371.00
16;41893.00
17;42766.00
18;43493.00
19;47033.00
20;46934.00
21;47882.00
22;49802.00
23;51033.00
24;51576.00
25;53122.00
26;55240.00
27;58087.00
28;59961.00
29;61239.00
30;61111.00
31;62484.00
32;61435.00
33;62022.00
34;61970.00
35;62347.00
36;61937.00
37;62794.00
38;62417.00
39;62332.00
40;60164.00
41;59628.00
42;59324.00
43;58398.00
44;58203.00
45;59588.00
46;59455.00
47;61430.00
48;62831.00
49;63528.00
50;64904.00
51;66106.00
52;66713.00
53;67969.00
54;68192.00
55;68796.00
56;66176.00
57;63450.00
58;60625.00
59;58629.00
60;55947.00
61;53605.00
62;51746.00
63;49948.00
64;47067.00
65;44258.00
66;42058.00
67;41462.00
68;39608.00
69;40458.00
70;39204.00
71;39068.00
72;38232.00
73;37524.00
74;35666.00
75;34150.00
76;32065.00
77;30068.00
78;26897.00
79;23509.00
80;22206.00
81;20569.00
82;18751.00
83;17363.00
84;16089.00
85;14317.00
86;12371.00
87;10943.00
88;9315.00
89;7827.00
90;6198.00
91;4931.00
92;3705.00
93;2892.00
94;2128.00
95;1468.00
96;1049.00
97;648.00
98;455.00
99;253.00
100;150.00
101;75.00
