Alter;Anzahl
0;41218.00
1;42814.00
2;42751.00
3;43519.00
4;42850.00
5;42876.00
6;41960.00
7;42175.00
8;41911.00
9;42829.00
10;41856.00
11;41486.00
12;40902.00
13;40380.00
14;40235.00
15;40485.00
16;39744.00
17;40184.00
18;40714.00
19;43597.00
20;43884.00
21;44786.00
22;46272.00
23;48213.00
24;49121.00
25;50818.00
26;53134.00
27;56690.00
28;58005.00
29;59551.00
30;59840.00
31;61235.00
32;60048.00
33;60953.00
34;60983.00
35;61003.00
36;60478.00
37;61738.00
38;61013.00
39;61036.00
40;59508.00
41;58584.00
42;58336.00
43;58227.00
44;57784.00
45;58582.00
46;59124.00
47;60321.00
48;62382.00
49;62928.00
50;64584.00
51;65662.00
52;65867.00
53;66678.00
54;66142.00
55;67180.00
56;64980.00
57;62225.00
58;60002.00
59;57957.00
60;56019.00
61;53315.00
62;51898.00
63;49939.00
64;47863.00
65;46552.00
66;45025.00
67;44665.00
68;42808.00
69;43718.00
70;42955.00
71;43356.00
72;42389.00
73;42000.00
74;39697.00
75;39012.00
76;37432.00
77;35262.00
78;32895.00
79;30137.00
80;28797.00
81;27221.00
82;25489.00
83;24624.00
84;23404.00
85;21812.00
86;20007.00
87;18334.00
88;16370.00
89;14982.00
90;12647.00
91;10763.00
92;8765.00
93;7179.00
94;5677.00
95;4466.00
96;3200.00
97;2212.00
98;1618.00
99;979.00
100;559.00
101;352.00
